model,multi factor,multi variable,overall linear,sliced linear
linear,280.18%,94.03%,93.53%,100.00%
poly2,280.18%,94.03%,93.53%,100.00%
poly3,280.18%,94.03%,93.53%,100.00%
exp,279.93%,93.95%,93.45%,99.91%
log,280.18%,94.03%,93.53%,100.00%
power,280.18%,94.03%,93.53%,100.00%
hmult,279.77%,93.89%,93.39%,99.85%
