model,pareto,rawlsian,gov-1,gov-10,gov-25,gov-50,bible-1,bible-10,bible-25
linear,False,False,8.94054155267315,14.5622430704763,15.916463726923748,17.972385052985924,7.960535357187842,12.513296166604889,14.29610002398116
poly2,False,False,8.94056714907305,14.626087759425106,15.915379741389712,18.12606832835016,8.093295999290461,12.512628051382494,14.38698210003543
poly3,False,False,8.940676656788249,14.555930143266991,15.90705295498405,17.988004717345458,8.093796737710873,12.512301934959863,14.296090882368086
exp,True,False,8.675532220617521,14.444481782171245,15.881508935692244,17.49662244090803,7.8803884673656786,12.442227824051932,14.272756308210964
log,False,False,8.823468438656302,14.53172393057968,15.8854182386894,17.965746858332448,8.095725529665138,12.524731271900713,14.2962371748048
power,True,True,8.297016166988975,14.370089882781706,15.777675980043966,17.46063012141314,7.893401570217438,12.534013119935564,14.368500588124494
hybrid_mult,False,False,8.297140986851621,14.791683734871636,16.433828421358573,17.467503705123278,7.93781581488861,12.756959647459468,14.685925770564072
