train set size,test set,c0,"c1,1","c1,2",rmse,kfold rmse
1,flores,2.7791152373271646,0.045429806011336546,-8.279768540227068e-09,2.3762937063131777,2.39065852352493
1,bible,8.744431518233839,8.796407199725094e-08,0.002791607660724898,8.404413357210347,8.453542130263052
1,gov,9.923165865438014,-2.6006069167223685e-09,-0.3879106174387224,9.625861972677102,9.684042695542127
10,flores,6.964752787032582,0.045136800622290744,6.629402859500683e-09,5.395547418545895,5.42761054668547
10,bible,14.632527032109817,-7.788416993905393e-10,-0.047589912175291245,13.07971238672842,13.157195532617147
10,gov,17.27189248966892,1.4350852874335962,7.708397654553006e-08,16.945121952594974,17.04406615062397
25,flores,8.400019066901264,-1.5005356696529904e-07,-1.184283734990512e-05,6.475106004357452,6.5142979547824975
25,bible,14.650001067339472,5.021119232252668,1.460915398086597e-08,14.89806729510248,14.991015871075831
25,gov,16.847690912183,6.493461578158294,1.0193356920369423e-07,18.818010155116635,18.930718658503032
50,flores,14.670155100250316,-5.316207634731307e-09,-2.2338762157740244,3.3867104613313628,3.828235181949964
50,bible,2.1169025527911405,1.263626129445736e-07,1.0035270652425018e-06,0.8744705185461029,0.9901005770693168
50,gov,4.7729438134404625e-08,86.52019460673031,-0.0015516049670494996,4.517224382471602,5.5259553572639595
