train set size,test set,c0,c1,c2,c3,c4,c5,c6,rmse,kfold rmse
1,flores,27.75916681456306,7.08310772625743,4.404456071141746,2.457305361513242,-14.53992721368628,-20.12756837783431,-8.6599740778564,1.9336493994745687,2.1131276615073253
1,bible,20.37531035625249,14.91618683784791,11.127329754843595,2.4350135556489265,-4.749694227682895,-33.378829590509454,21.905793947089954,8.257481491608605,9.040781293166374
1,gov,25.18332189713892,17.32985294313442,11.755301343763573,11.914377957676432,-11.650521702154249,-37.583632504418546,19.01113805447388,9.41963375089329,10.314667946944395
10,flores,44.79161718678014,2.785078583632888,-0.4835542582242303,-7.721079345994441,-14.644219688910269,-9.149182572900678,-44.83171398479463,4.9716194545531005,5.441166106603623
10,bible,21.627240426443368,14.953912823409144,11.195045308094318,-3.945498069780021,2.2748562968229735,-29.486334010141153,19.380335526286263,12.975669539757888,14.208342223225126
10,gov,13.924050873257768,14.596050130041759,7.988377803308396,-3.0022202997986875,13.955915684945454,-20.714703799842212,8.94037434127608,16.84818981399617,18.452375069891865
25,flores,49.62216586278394,2.779524152938765,-1.0227976969676096,-8.493764081807868,-15.589087060317977,-8.592504643170276,-51.965783402231374,6.039412229865339,6.610244734810043
25,bible,22.48909325664249,15.897882792263678,12.573578173850153,-2.436242295487782,0.721747254606294,-30.853150635506438,24.372107560172537,14.807751910473092,16.21536740661231
25,gov,14.30751016852466,15.733655392282882,7.339357515401653,-6.282113088248548,20.702713219435818,-20.338980390756777,3.2126373182792447,18.69966577243482,20.47952253489229
50,flores,26.939899680707114,-10.408220941330681,5.032826982185526,-24.558134750252012,-21.705879159985724,13.148561774465135,10.776023689207785,1.727830496557144e-05,2.8221043705912767
50,bible,5.929259794472268,-3.0761968865265903,0.8840998281072003,-4.7507142040243435,-6.803640815299266,3.6568046288564338,2.371706660664429,8.007530593968269e-06,0.6868505464935409
50,gov,5.810472895960746,24.325919522747792,8.785844605055757,-18.122059285147024,59.70779148720198,-17.027475559587145,2.324281492612104,9.458845163672011e-07,4.585249567661617
