train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,c2,c3,c4,rmse,loo rmse
cc_align,25,gov,1,flores,10.75517628709643,-6.731986757369081,1.0,1.0,1.0,2.2779371382983173,2.612666465103692
cc_align,25,gov,1,bible,-0.6000387841902849,3.40803108939449,1.0,1.0,1.0,0.7235485340264038,0.7947609778539604
cc_align,25,gov,1,gov,2.722412544702196,36.80893151793316,1.0,1.0,1.0,2.13078012019099,2.399472225310013
cc_align,25,gov,10,flores,23.680754696290165,-18.80136661803178,1.0,1.0,1.0,3.3146143702812068,3.8060392486058667
cc_align,25,gov,10,bible,2.055986320817901,1.2059186743132086,1.0,1.0,1.0,0.9209961348189412,0.9254086529096605
cc_align,25,gov,10,gov,13.289761255972714,40.7648848931014,1.0,1.0,1.0,3.265246177737915,3.54235515873685
cc_align,25,gov,25,flores,27.459238747437386,-22.73078402185432,1.0,1.0,1.0,3.375114993983624,3.874301450338941
cc_align,25,gov,25,bible,0.9488759437292086,4.1403416585006445,1.0,1.0,1.0,1.038263440239389,1.0434426894867395
cc_align,25,gov,25,gov,13.290534532262944,47.4670030779603,1.0,1.0,1.0,3.61916414155935,3.922227132746916
cc_align,25,gov,50,flores,48.815642197067916,-61.73690234360054,1.0,1.0,1.0,0.5325764854161747,0.9242241631262794
cc_align,25,gov,50,bible,6.4217924518345955,-5.802382110938917,1.0,1.0,1.0,0.5047276944814658,0.8758958273229508
cc_align,25,gov,50,gov,12.79019197175184,55.716352449719935,1.0,1.0,1.0,4.591701925552377,7.968361203524213
cc_align,25,bible,1,flores,1.007827744053357,1.296092502064162,1.0,1.0,1.0,0.6809263611929752,0.7098036618779863
cc_align,25,bible,1,bible,11.666954402984892,12.270610614480399,1.0,1.0,1.0,2.639624295674277,2.7063024801256614
cc_align,25,bible,1,gov,2.1734639276001158,-2.1973177110545423,1.0,1.0,1.0,0.48113501716433854,0.5218896762553837
cc_align,25,bible,10,flores,1.624156329240197,2.276674235319423,1.0,1.0,1.0,0.9428519358700113,1.0089187211661779
cc_align,25,bible,10,bible,20.95607636800559,12.81528074249014,1.0,1.0,1.0,3.4737072288228346,3.5168334090472406
