language to,c0,"c1,1","c1,2",c2,rmse,kfold rmse
ka,25.599649792489558,44.45434101789094,-55.44023779514808,-58.8994639437664,4.00262363429782,4.070786210752048
gu,31.715154471597607,31.70008690337934,-36.41264993602167,-62.46102851236614,4.567988211711869,4.677648593142371
hi,34.21593829338249,15.857304135464862,-7.462696668349163,-69.62535216199129,3.176043735295729,3.262065108634687
si,42.07570192274021,14.511842354446852,-6.1581044662360425,-81.98076161071175,4.794288968582457,4.938895809255126
ta,32.42089992313731,14.036373354050797,-5.813172041392379,-64.24874775174496,4.176696420945488,4.316418986725054
