model,multi factor,multi variable,overall linear,sliced linear
linear,22.70%,22.32%,22.40%,100.00%
poly2,23.09%,22.69%,22.78%,101.69%
poly3,23.52%,23.12%,23.20%,103.58%
exp,20.06%,19.72%,19.80%,88.37%
log,22.70%,22.32%,22.40%,100.00%
power,23.96%,23.55%,23.64%,105.52%
hmult,24.78%,24.36%,24.45%,109.13%
