model,none,train,test,train+test
linear,13.711541794642406,13.257947207637343,12.04354511510558,4.16401292768732
poly2,13.711705592810844,13.258650213559765,12.04561852736633,4.166779618204524
poly3,13.711334107850742,13.2579318763497,12.044759909013251,4.172200303689854
exp,13.71130926276562,13.260589955747323,12.017556268010486,4.078799855181052
log,13.711732945024607,13.259008906932436,12.02999898311712,4.150902354284417
power,13.722260249058277,13.268383057525053,11.999092441992829,4.053841670199867
hmult,13.718507848850644,13.266695690415272,12.01349451157184,4.109681352547023
