train set,train set size,c0,c1,c2,c3,rmse,kfold rmse
gov,1,2.9779891873619246,0.007354749634804443,2.4261507548376966,-2.33618991287958e-09,8.823209377728661,9.022633782284082
gov,10,11.516187922134387,-3.4196532421256518e-09,1.7608260394714377,-0.0002650104032533864,14.376339116410955,14.638774128035578
gov,25,8.441705914927564,-4.661012596580741e-10,6.850086469790452,-0.0030690269124837633,15.874242402134769,15.966779697557014
gov,50,8.41434188908773,2.702178264966536,7.4053474214560735,-8.946034506432046e-10,17.473070671979716,17.87427648834954
bible,1,3.758214389601523,-7.104955819494096e-07,5.200323270242576e-10,1.481142542251822e-08,8.21307899437648,8.126346911521745
bible,10,4.391078848704304,-2.3930381631300563e-10,3.670190560131677,-0.006309749086562626,12.659103358289334,12.548934969951459
bible,25,4.5050089032358525,1.3851047754404944,4.02612399038712,-1.4212812372366975e-09,14.495732786198777,14.330833487197975
