,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,2.8679804053845546,3.0652049827207746,0.8974118786245803,0.0,
1,poly2,,-147.6505662846521,-147.45334170731587,1.0,0.0,
2,poly3,,-114.80746185560855,-114.61023727827234,1.0,0.0,
3,exp,,0.3434367720042344,0.540661349340454,0.9557786543615362,0.0,
4,log,,2.1990271416754656,2.396251719011685,0.9179164419759064,0.0,
5,power,,-0.463099165050199,-0.2658745877139794,0.966203329451512,0.0,
6,mult,,-0.463099165050199,-0.2658745877139794,0.966203329451512,0.0,
7,hybrid_mult,,0.18659868003456914,0.3838232573707887,0.9580311262846486,0.0,
8,am,,2.8679804053845546,3.0652049827207746,0.8974118786245803,0.0,
9,gm,,2.8679804053845546,3.0652049827207746,0.8974118786245803,0.0,
10,hm,,2.8679804053845546,3.0652049827207746,0.8974118786245803,0.0,
