model,multi factor,multi variable,overall linear,sliced linear
linear,283.96%,98.21%,98.21%,100.00%
poly2,284.84%,98.51%,98.51%,100.31%
poly3,285.24%,98.65%,98.65%,100.45%
exp,286.29%,99.01%,99.01%,100.82%
log,280.83%,97.12%,97.12%,98.90%
power,281.55%,97.37%,97.37%,99.15%
hmult,282.71%,97.77%,97.77%,99.56%
scaling,281.59%,97.39%,97.39%,99.17%
