train set,language to,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
gov,ka,-5.0281353684789e-09,0.028132686525117922,0.2219194265680047,-0.007850736702432241,11.164135692753703,12.263104657829647
gov,gu,1.798615840297306,1.6100251145521904,0.028544478043630684,-0.00249736664878202,12.459027658454904,13.312011205399445
gov,hi,0.33217392965200493,2.2862017953026252,-0.08522143299045326,0.0009446345563255767,12.340015909310132,13.050242581076384
gov,si,0.3214221658812641,2.3393347239815934,-0.08512699163557992,0.0009327689642864309,17.637981084803076,19.01855379258159
gov,ta,0.21211036426484045,1.8828865081743351,-0.06779708494397994,0.0007439939961572817,14.624140329831473,15.70810194249487
bible,ka,-1.2936246925188821e-09,0.01686040001965073,0.13300330782648187,-0.004678963360884821,10.332368233713186,10.571105510956585
bible,gu,1.2145844891044138e-10,0.02010021999176913,0.15802505008791934,-0.00559393086029762,10.54649789818577,10.861899745626792
bible,hi,3.5281374771940417e-06,0.006017242452908026,0.16567196989247313,-0.005849159547884242,12.436395302021642,12.685930968005186
bible,si,1.2220293894329553e-07,0.024929241336006745,0.18553193987612845,-0.006579939189698247,15.277075830500397,15.51403202438609
bible,ta,-2.1733791653531293e-09,0.018666164165923416,0.1470517350992489,-0.005182305037191833,12.037344869388841,12.306900160391233
