,mean,min,25%,50%,75%,max,pareto,rawlsian
linear,1.8112029637971598,0.0668510838009037,0.9667700404896122,1.934118069184167,2.621341931957943,3.515663450326296,True,False
poly2,1.4643243264368284,0.0885237300530075,0.7338724092139116,1.099756208311509,2.165377875323113,3.556989634561337,True,False
poly3,1.4667406132584462,0.1005034802388198,0.7397389549399487,1.1028212340316552,2.1569140740449657,3.6234100794206263,True,False
exp,1.7639897699777471,0.0260037726035315,0.9742589039099272,1.7857081075727055,2.6107304877931816,3.4926368512503547,True,True
log,1.8470844510609914,0.0413037533874795,0.9729592042863006,2.008989627350184,2.6648012058201593,3.5426498376595346,True,False
power,1.802169987482385,0.0022729105757564,0.9798528796343372,1.8825279851041423,2.6219273679265,3.51490267513237,True,False
mult,1.802169987482385,0.0022729105757564,0.9798528796343372,1.8825279851041423,2.6219273679265,3.51490267513237,True,False
hybrid_mult,2.242273695912602,0.0107065915394598,0.9832737360819083,2.1316250995980894,3.2924200808185025,5.6010751720268885,False,False
am,1.8112029637971598,0.0668510838009037,0.9667700404896122,1.934118069184167,2.621341931957943,3.515663450326296,True,False
gm,1.8112029637971598,0.0668510838009037,0.9667700404896122,1.934118069184167,2.621341931957943,3.515663450326296,True,False
hm,1.8112029637971598,0.0668510838009037,0.9667700404896122,1.934118069184167,2.621341931957943,3.515663450326296,True,False
