train set,train set size,test set,c0,c1,c2,c3,rmse,kfold rmse
gov,1,flores,0.0,0.0,0.0,0.0,5.107641334314694,3.1109877132665034
gov,1,bible,0.0,0.0,0.0,0.0,1.1410521460476728,1.1410521460476728
gov,1,gov,12.594091980395076,-5.147796881464466e-09,5.121393482563186,0.01497749015081964,4.738979169141874,4.013669421164366
gov,10,flores,7.49054876008256,-1.1746493576783767e-09,2.5384113131251365,-0.018803147267726507,4.405959349829736,3.6823079179030334
gov,10,bible,0.0,0.0,0.0,0.0,2.3958297101421877,2.3958297101421877
gov,10,gov,32.679647989096466,0.00014676264335324472,-1.8027225370310458e-09,0.008040986045910439,4.292383402226651,4.346238552814718
gov,25,flores,11.806647375689305,-8.87470271973359e-06,2.863645867999135e-06,-3.25403904225112e-09,4.6116249627198815,4.075381888219993
gov,25,bible,0.0,0.0,0.0,0.0,2.874369496080836,2.874369496080836
gov,25,gov,36.27721615565867,0.15069762577237655,0.010229009567121665,-1.391696870518712e-09,4.978426871504201,4.279559373340896
gov,50,flores,10.474445259388801,-0.0008258453142666354,-3.5161883315778832e-09,0.08389812502301022,5.047114215614696,3.4845649072790623
gov,50,bible,0.0,0.0,0.0,0.0,2.335950912726264,2.335950912726264
gov,50,gov,39.98332005006526,-3.369843024997664e-09,0.006490273413102918,-0.0008478356468870443,5.829231497457563,4.041757335581933
bible,1,flores,0.0,0.0,0.0,0.0,1.2473972903610142,1.2473972903610142
bible,1,bible,10.418753950709121,-7.785031078262273e-10,4.2305245319088165,0.11996171326722815,4.721788273189519,4.558642640296489
bible,1,gov,0.0,0.0,0.0,0.0,0.74565407529229,0.74565407529229
bible,10,flores,0.0,0.0,0.0,0.0,2.4240462041801103,2.4240462041801103
bible,10,bible,20.410924053691463,-2.064189799918899e-09,8.490884460035927,-0.22286377366673338,3.588997428595007,4.32595949257226
bible,10,gov,0.0,0.0,0.0,0.0,1.4676511847165867,1.4676511847165867
bible,25,flores,0.0,0.0,0.0,0.0,2.7542694131112158,2.7542694131112158
bible,25,bible,22.16246055107171,-2.645289693478016e-09,9.241696310218149,0.0004970955147129766,4.742317645909944,4.213232575663302
bible,25,gov,0.0,0.0,0.0,0.0,1.6792855623746665,1.6792855623746665
