language to,c0,c1,c2,rmse,kfold rmse
ka,-12.739394152493306,-0.2512176347225645,-15.370425495834882,4.413275634628884,4.555811862508314
gu,-8.822064934904857,-0.3128621876439747,-15.843538901469195,5.915066295574984,6.206718771279901
hi,-12.762345312596773,-0.2070847749139877,-18.284394584332045,4.166572194706627,4.2263750584703725
si,-16.190055880696015,-0.10978013231503225,-23.672499225077093,2.724205756545952,2.748623777514046
ta,-12.623714218812019,-0.16225814928446694,-17.505091687656193,3.437832534269333,3.49892841853987
