model,multi factor,multi variable,overall linear,sliced linear
linear,101.38%,99.65%,100.00%,100.00%
poly2,101.83%,100.10%,100.45%,100.45%
poly3,101.25%,99.53%,99.87%,99.87%
exp,101.69%,99.96%,100.31%,100.31%
log,101.28%,99.56%,99.90%,99.90%
power,102.53%,100.79%,101.14%,101.14%
hmult,103.98%,102.21%,102.57%,102.57%
