,pareto,rawlsian,mean,min,25%,50%,75%,max
linear,False,False,2.572752315955634,0.3308089519537373,1.3047851403024449,2.170825524743214,3.5952892483208494,7.374665306476041
poly2,False,False,5.0362597177198305,0.4027203037510393,2.343619262180531,4.261180099561075,5.926111042769628,11.881070223423531
poly3,False,False,6.489809668477885,0.4608005232571161,3.782653997641815,4.397571888472348,7.720320995662748,21.3738551390276
exp,True,False,2.4892500554065156,0.3192803813976465,0.6708466704178163,1.1694600871312957,3.3896866696582344,9.389561858828811
log,False,False,2.327814752906992,0.2811051165864096,1.0765251265402354,1.6658925616947826,3.491187148341343,6.839718754209977
power,True,False,1.4923105512300119,0.2012734523077581,0.6898870527257077,1.3955075707220872,2.2983207582525704,3.369350662832854
mult,True,False,1.6834557221100805,0.2596668421610896,0.4851391333475011,1.2176776234324305,3.34190499417401,4.184912531697415
hybrid_mult,True,True,1.2720118543905803,0.2285738800725364,0.9001043307493397,1.1268679925116445,1.6332304454217577,3.3380342709780257
am,False,False,1.7170134808087654,0.2787605103189779,0.7563585891104794,1.763939794760402,2.7560300360943324,3.414654911166023
gm,False,False,1.7287094602250561,0.2469306004867417,0.7526002715173294,1.65169747829485,2.7926537974750785,3.4273898298890626
hm,False,False,1.7437096404293364,0.2081793925321704,0.7478603035213244,1.5150484882944557,2.7904801063751257,3.443716536877405
