,pareto,rawlsian,mean,min,25%,50%,75%,max
linear,True,False,1.3016565567995428,0.0,0.6247274819384521,0.991838781571548,2.034431827406723,3.314643466674588
poly2,True,False,0.5088182068387974,0.0,1.9887582186281218e-13,0.339970961052424,0.6101955821424904,2.5994738347241184
poly3,True,True,0.32721832621883906,1.9907880820997404e-14,7.923427685106301e-14,1.3185808144707557e-08,0.4030544679029179,2.1121451611758717
exp,False,False,1.2082387962323495,2.866583523299505e-16,0.4362928719782374,0.7681588487971496,1.8529989778275868,3.2312466488641607
log,True,False,1.3197556544218738,0.0,0.6160055324820269,0.977386756784632,2.019614102856996,3.296740215885809
power,False,False,1.4920539181032249,2.866583523299505e-16,0.732541322526021,1.235323741442213,2.273249846671368,3.246751440970897
mult,False,False,1.2069832647514622,2.2932668186396043e-15,0.4187267409035645,0.7523023790295053,1.949500484076252,3.2150257144421808
hybrid_mult,True,False,1.2038856145716355,0.0,0.5274376611841014,0.8833020978807373,1.668939784178788,3.227624468816516
am,False,False,2.033898922557385,0.2648865065966483,0.7960416702147605,1.4294531745446144,3.2993901968228694,4.673991029900556
gm,False,False,2.1083559792695112,0.3775310799303205,0.8021415199801029,1.4380713124215136,3.387877530352051,5.041410162860546
hm,False,False,2.1587935243748193,0.4391462221538413,0.7993436239394586,1.4400604354747466,3.429674466036635,5.264630839202528
