,pareto,rawlsian,mean,min,25%,50%,75%,max
linear,False,False,5.528472606319954,0.2223970026750717,2.235261377182648,4.460266407425913,9.178728491862074,11.3868383587107
poly2,False,False,5.531126575094037,0.1189365627484431,1.6356791121133405,3.458630282820998,7.290500312078011,18.831502627843506
poly3,False,False,3.281440470944495,0.2646620982363286,1.6208734182835556,2.915221778508934,5.212619422218735,8.313639847198754
exp,True,False,14.694453368414232,0.01736814092568,3.149158457730424,7.265266911610863,20.64466933418506,60.20887922050543
log,False,False,6.767080063922836,0.7989895324733978,1.7371479582427245,5.4162672234500935,10.839975206490216,19.487208866145814
power,True,False,1.8467233686939857,0.0941873062612549,0.7834227459526395,1.8438664941466227,2.3541269423896725,5.809485883015427
mult,True,True,2.3886032181549313,0.3162852027405783,1.037196215078247,1.713664334731138,3.423982488188801,5.456439832638985
hybrid_mult,True,False,1.6089069691602775,0.0388259317183311,0.4029107667125254,0.5829387203420077,1.665399470049758,12.460440165154065
am,True,False,2.2726231358523514,0.3945924759151487,0.8576775241791625,1.5068577991973295,3.603881562324655,7.2923028356568995
gm,False,False,2.441823010055871,0.4214298101662194,0.904363754394957,1.5546227626947828,3.629327891585609,8.732829133243872
hm,False,False,2.5976284556635756,0.432389355931691,0.9295744683157944,2.1247032718736434,3.628961946935574,10.185079505923891
