,pareto,rawlsian,mean,min,25%,50%,75%,max
linear,True,False,0.11203462079365523,6.280369834735102e-16,5.024295867788081e-15,2.6974901278333925e-14,0.2040122932816154,0.6707154694712828
poly2,False,False,0.1855608423252015,2.827910434698738e-15,1.3481600519334531e-14,4.4321717364568185e-12,0.1917205048315158,1.391204950972247
poly3,False,False,0.3338575319473942,5.363342686589689e-13,1.0449916061663476e-10,1.88920069257097e-09,0.1082451258404767,4.1032658518275
exp,False,False,0.47128592285731524,5.684226236672611e-15,2.457115272284041e-14,0.1391736921152094,0.3332332683497025,2.4797096969531376
log,True,True,0.10254033246913732,0.0,7.280896430443988e-15,3.0602870235949853e-14,0.1510137912001468,0.6682604268222229
power,False,False,1.3305885779166122,1.8129866073473576e-16,0.7288366137066773,1.230446322298351,2.084130076332768,2.621750472287427
mult,True,False,0.22308379712059323,3.3027968761353313e-16,4.7450400423160864e-15,9.173067274558416e-15,0.07903226773349,1.9662397168197223
hybrid_mult,True,False,0.5728724147465033,1.1903227047682497e-15,3.957131406541497e-15,1.5841602680077366e-14,0.4524562222334604,4.068793913415159
am,False,False,1.9775321745325922,0.2023457148318574,0.7963411421169287,1.4220711194541271,3.245657211094141,4.443590249238556
gm,False,False,2.0368728329758947,0.2829237808179676,0.8020896893388146,1.4307040987612043,3.292667577875045,4.738205624843679
hm,False,False,2.083957496317791,0.3506680132473098,0.8044390044267216,1.436256831890669,3.3319436218350424,4.961556416222937
