train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3",rmse,loo rmse
cc_align,25,gov,1,flores,88.96624966605486,-71.92497225314936,-55.73371729551852,54.91477311739205,-30.807540643797772,4.345106553516361,4.772923379706285,1.0000000000005218,1.0488088511046023
cc_align,25,gov,1,bible,-9.557183075960994,23.89072358120476,6.332137902917465,-14.546785014409824,-11.150107054778525,-5.304281914453252,-1.7213354809373436,0.2302172886644534,0.23874674107480115
cc_align,25,gov,1,gov,18.851015390106916,18.421522901175326,11.817165836977743,-29.10484710949398,5.746713764339891,-10.911174906136587,-8.40241371558929,2.059126028197402,2.5581243802607294
cc_align,25,gov,10,flores,-14.794156331570996,105.93773805991707,-36.75780994387452,-22.729851210981288,-50.239507702328915,-10.664677906648897,19.472351196618003,2.049634113689651,2.408526547242548
cc_align,25,gov,10,bible,-6.982886766475669,19.167871762141463,9.687570842357847,-15.710057498400412,-6.937769474299215,-7.073038280657977,-1.6516316857796607,0.664830805543788,0.7231873900262423
cc_align,25,gov,10,gov,49.79826282662071,-6.604110391250437,-18.667220224687128,-1.634013236124506,23.889441380270533,-2.575922051441362,11.92893248913905,3.2596012026013317,3.4964268280464057
cc_align,25,gov,25,flores,-7.362084662072242,84.12026809145615,-28.665907146923303,-19.429905737288696,-26.377585249118603,-20.025005212394426,-31.36462430252775,2.284731931759198,2.742990741746917
cc_align,25,gov,25,bible,-6.408865775684726,21.133853227821326,6.309300776594249,-13.513477386165931,-6.3135160338557625,-11.830875435469943,-7.85100560479613,0.7106335201775974,0.8056053407776591
cc_align,25,gov,25,gov,58.005323883464875,-8.983463809376095,-31.077376833082994,7.575819924364812,25.895734486173005,2.760312338512664,0.46488605790558335,3.793810749102262,4.030136473696344
cc_align,25,gov,50,flores,50.86026761029512,-34.098637917278,-11.266891841109771,5.537170794576685,2.7945916469504066,3.894934203790581,1.985394835424727,2.65361388801511,3.654920617610001
cc_align,25,gov,50,bible,3.146022215760205,-1.582224569617247,-0.27252982836807127,1.881930310722101,0.5831807719301596,0.43303977770072144,0.37879998997566844,0.5715476066494083,0.6295751720341138
cc_align,25,gov,50,gov,68.63449141322837,-24.635201448943356,-9.545674224346635,6.55792779955585,-1.5174732552011578,3.6936375372831107,1.6322385287543686,5.307227776030255,8.40372006454697
cc_align,25,bible,1,flores,10.752352100112581,-4.624828305254118,-3.4118994245375722,1.884663153875512,-7.538788282392439,-2.4547329293552678,-0.656483570890336,0.3820994634908561,0.413521453541946
cc_align,25,bible,1,bible,79.5387878625684,-96.54819492702472,14.70419651261652,7.605248818011347,11.420442469393114,32.16446954578945,17.741718234579764,1.5211837495845553,1.8447221004465149
cc_align,25,bible,1,gov,-0.09032420533857888,6.860828297287805,-0.9773305309307537,-4.060478205526602,-1.4193681025902032,-2.1090382295632453,-4.335963019840328,0.28635642126562416,0.288097206164567
cc_align,25,bible,10,flores,17.480519868996403,-17.15197995307268,11.147726183887915,-3.1471245059910697,-11.438978456432402,-8.535299677922772,-2.9359728178082047,0.4159326868620702,0.42071366448211595
cc_align,25,bible,10,bible,-3.9873196982735024,44.033152919852554,-0.4342808976379873,-35.50111427739771,42.954875873202795,24.856130696500255,9.853602637529688,2.1503488089145013,2.3765529682740594
cc_align,25,bible,10,gov,8.597895584203178,0.9148657070334125,-1.5835747830258091,-2.3638643877346257,-8.307940552132784,-6.965426415453657,-3.5574614960383,0.2549509756796546,0.28460498668036177
cc_align,25,bible,25,flores,24.147452745527527,-17.9466852955981,-7.08746503324986,11.03795873068853,-15.320601313716345,-8.162241433288111,-2.6103430128690417,0.47010637094173807,0.4959838790266109
cc_align,25,bible,25,bible,-22.91415123199752,64.61773105613612,38.74308057282598,-69.64195627434404,25.943749660937687,48.88711522135797,17.122803219567082,2.1496511345046123,2.3496808520942447
cc_align,25,bible,25,gov,0.2910492034440484,16.579178943500338,-3.380033311554688,-6.5155427152342735,-11.172203632815519,-6.365034039625684,-3.708839001888041,0.2983286778036886,0.3376388563159445
cc_align,100,gov,1,flores,23.033634127359697,4.09373907180542,4.63513080657778,-14.169921500599296,-34.45451237535951,12.459970512506079,10.087926719584743,1.1751595636338141,1.267280480256515
cc_align,100,gov,1,bible,16.26102128703678,-16.701640287319933,2.9895935882170903,2.590926503263876,-5.996397560345723,-8.233752513959528,-7.405339495306496,0.22360679774999578,0.2258318372546234
cc_align,100,gov,1,gov,-43.37034361969566,119.47512733061774,-3.8423778591034523,-53.38546367693168,11.663802955611871,-6.161689725418766,-6.353011735274792,1.812456896039214,2.1922595786625103
cc_align,100,gov,10,flores,51.492115155100294,-21.69835087957036,0.20387220827669683,-2.837273405124075,-26.986895740693285,-20.898290118364553,-10.498104820445299,1.8335757415498424,2.0791821155601675
cc_align,100,gov,10,bible,-8.486293723097408,24.235247522367896,5.8881821470137545,-15.838668786497777,-3.667078919637006,-8.742925087336783,-5.9807433586170005,0.6074537019395021,0.7707139552972977
cc_align,100,gov,10,gov,25.120942267334677,18.395773949925477,9.389390389961079,-30.529747984148997,27.756060677576446,-0.8862357307561508,0.9846023332470875,3.3378136556734317,3.6410165520138356
cc_align,100,gov,25,flores,-0.6512195338450812,59.38065835319021,-3.5793854355375827,-27.52023389173749,-17.986392466694824,-31.50532941264697,-14.756406148417694,2.115183207195101,2.3872581555728285
cc_align,100,gov,25,bible,-8.281593119186052,23.549133362241946,5.455584459985963,-14.359684340774521,-2.369003753580052,-12.255325498409482,-5.546668517330562,0.7211102550927992,0.9186947291395475
cc_align,100,gov,25,gov,6.112576076719495,58.85336144581549,-2.739058684187937,-37.324408549898,25.497510491172445,10.645578067222035,1.4880151311942829,3.940685219603381,4.2229139702329475
cc_align,100,gov,50,flores,6.75962244357019,30.713802620239104,-42.23364395452797,3.701150369079553,33.721882719666425,11.686580434033665,4.694725935494431,2.9802125203862064,3.519445868956869
cc_align,100,gov,50,bible,3.8951893332668845,-0.9044287118430683,-0.05189484781269749,0.7391252899954192,1.5981509531827374,-0.37940577188875246,0.6789610090704318,0.40824829046386435,0.6234530527230102
cc_align,100,gov,50,gov,50.43988637514262,8.421806280073104,-18.759884722357054,0.6354126826722765,0.6111414809118894,1.4065006591760594,-0.104958556531344,5.511351921262173,5.963753351212274
cc_align,100,bible,1,flores,-9.582472192559326,20.666253070891166,3.427120975306482,-11.873720492282615,5.2409267763708645,-17.91631194925221,-7.295971541665753,0.4000000000000024,0.41952349800696404
