train set,train set size,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3","c3,1","c3,2","c3,3","c4,1","c4,2","c4,3","c5,1","c5,2","c5,3","c6,1","c6,2","c6,3",rmse,kfold rmse
gov,1,9.950314902837615,3.628700438364837,8.747024023880954e-06,-5.717564201509395e-07,9.208601584160817e-07,-3.2156652574099593e-06,1.5155572737405243e-06,5.3213695075503775,0.3279090914782687,7.269091422689771e-06,-2.460269081612943e-06,7.19160824759858e-06,1.8604631444029051e-06,2.074839258675035e-06,-4.7909298210915785e-06,-7.531298659111664,-5.812987981990413e-06,5.615271937265662e-06,8.482860318913157e-07,8.105643701816808,8.245614308800272
gov,10,19.332642825373725,2.149645582911634,-0.00016296304542608696,3.7498421293976084e-05,-0.0001037300625465193,0.0005962143928749646,0.00049017580225697,-5.109029502860921e-10,-0.0001703133590626261,-0.0005766602871111775,1.3624676261435533,-0.00021460444626544056,-6.370203201659632e-05,0.001987082971693653,-0.000258001088978817,-6.342911255952896,-0.0006446467045401299,0.00022320682057706446,0.00014342513961304633,13.978379110077764,14.231752746298728
gov,25,21.141879891285466,2.9859757069145325,-2.2041432318801846e-06,3.543632355225703e-06,5.8554745575574595e-06,-8.306803999216451e-06,3.4082125966143735e-06,0.010861847038818392,1.4073201768881966e-08,3.687660728908029e-06,2.553854295912801,4.971885423042926e-06,5.776552589644913e-06,3.3974483004414254e-06,-5.534848596763724e-06,-7.352724448013343,2.307309050759802e-06,1.5852210800827203e-06,1.327095338971234e-05,15.350148350940554,15.628373469781929
gov,50,17.506759714596043,-1.7128467623205697e-05,1.5853970540106927e-06,-6.433731379092889e-06,7.425141922311068e-05,3.143153610614423e-05,-2.182814009792349e-05,-0.5000243627664046,-3.9602189372787544,-0.0001371971822040029,5.288763480923206,0.00078962632172271,0.06189444014260463,5.269358884847411e-06,2.2475909969965594e-05,-0.8034381943723613,2.225127248339988e-05,9.916119331654358e-06,-1.0163199239825336e-05,17.20071123104214,17.719537284110956
bible,1,4.721877353211517,1.4455266627322954,0.00013566638663219273,4.923652627766455e-05,-0.00010804272221468402,1.1624231498267849e-05,-3.606148863104814e-05,7.5150227545353665e-06,0.00041945444387171254,0.00026457281122532793,2.308196470469929,0.8144953938503869,-2.5998592348801405e-05,-2.7777941774170518e-06,3.162387197086285e-05,-1.5213462367326291,2.5776786779527443e-06,-3.4894294394129724e-06,-0.00011230678249800699,7.790938440034859,7.847612400051993
bible,10,7.39209387702054,1.2559010885296618,2.1620412898523332e-06,2.5620445495794628e-05,-2.1284407808870298e-06,-1.3612847267525215e-05,-6.5472064456080944e-06,6.933600379061034e-06,1.7159987175635452e-05,-8.820222478031747e-06,3.649950018925159,1.3562669837914636,1.3057622982851403e-05,6.203528894849681e-06,-4.99996989546406e-06,-1.0274473970057774,2.2977948228198235e-05,2.5685270843995037e-05,2.1625523555021213e-05,12.359997061373965,12.482373469077967
bible,25,8.56307894776644,1.3466429581961061,2.507365756486503e-05,1.5449778593589938e-05,2.8779660496681877e-06,8.698327563408933e-06,-9.909992739743794e-07,-4.624358222654035e-06,4.588393431824375e-06,-9.834800777580126e-06,4.073259522342677,1.3658916943190147,0.0036981006628864508,6.713696089987802e-07,-8.367987897712922e-06,-0.9874696691921744,-2.43492609706031e-06,5.183301661174628e-06,-4.5251143379147455e-06,14.175427620781202,14.32505824106752
