model,multi factor,multi variable,overall linear,sliced linear
linear,280.34%,94.08%,94.04%,100.00%
poly2,280.34%,94.08%,94.04%,100.00%
poly3,280.34%,94.08%,94.04%,100.00%
exp,280.24%,94.05%,94.01%,99.97%
log,280.34%,94.08%,94.04%,100.00%
power,280.34%,94.08%,94.04%,100.00%
hmult,280.14%,94.01%,93.98%,99.93%
